"gene_id"	"class_code"	"nearest_ref_id"	"gene_short_name"	"locus"	"length"	"coverage"
"ENSMUSG00000071553.4"	NA	NA	"Cpa2"	"chr6:30541581-30564476"	NA	NA
"ENSMUSG00000071561.2"	NA	NA	"BC100530"	"chr16:36359381-36387406"	NA	NA
"ENSMUSG00000073079.5"	NA	NA	"Srp54a"	"chr12:55089201-55112891"	NA	NA
"ENSMUSG00000073403.5"	NA	NA	"Gm10499"	"chr17:36141757-36162573"	NA	NA
"ENSMUSG00000073406.4"	NA	NA	"H2-Bl"	"chr17:36080114-36084223"	NA	NA
"ENSMUSG00000073455.4"	NA	NA	"9030025P20Rik"	"chr17:14978863-14991577"	NA	NA
"ENSMUSG00000074199.1"	NA	NA	"Krtdap"	"chr7:30787904-30791083"	NA	NA
"ENSMUSG00000074218.2"	NA	NA	"Cox7a1"	"chr7:30184170-30186028"	NA	NA
"ENSMUSG00000078190.5"	NA	NA	"Dnm3os"	"chr1:161942085-162479943"	NA	NA
"ENSMUSG00000078249.4"	NA	NA	"Hmga1-rs1"	"chr11:120762793-120764392"	NA	NA
"ENSMUSG00000079662.1"	NA	NA	"Ntn3"	"chr17:24175430-24221730"	NA	NA
"ENSMUSG00000082286.4"	NA	NA	"Pisd-ps1"	"chr11:3125903-3130146"	NA	NA
"ENSMUSG00000085463.1"	NA	NA	"9430024E24Rik"	"chr2:33716360-33718899"	NA	NA
"ENSMUSG00000085912.1"	NA	NA	"Trp53cor1"	"chr17:29057473-29078961"	NA	NA
"ENSMUSG00000086583.2"	NA	NA	"Gm15500"	"chr7:114705216-114706235"	NA	NA
"ENSMUSG00000090066.2"	NA	NA	"1110002E22Rik"	"chr3:138048760-138081506"	NA	NA
"ENSMUSG00000090509.2"	NA	NA	"Sfta2"	"chr17:35601548-35650571"	NA	NA
"ENSMUSG00000090698.1"	NA	NA	"Apold1"	"chr6:134982000-134986836"	NA	NA
"ENSMUSG00000091957.2"	NA	NA	"Rps2-ps10"	"chr18:61220481-61289924"	NA	NA
"ENSMUSG00000092392.1"	NA	NA	"Gm20546"	"chr17:36248820-36253679"	NA	NA
"ENSMUSG00000093483.1"	NA	NA	"AA465934"	"chr11:83291698-83294632"	NA	NA
"ENSMUSG00000093674.1"	NA	NA	"Rpl41"	"chr10:128548113-128549305"	NA	NA
"ENSMUSG00000093880.1"	NA	NA	"Tmem181c-ps"	"chr17:6612645-6621267"	NA	NA
"ENSMUSG00000095134.1"	NA	NA	"Gm21857"	"chrY:90755656-90763485"	NA	NA
"ENSMUSG00000095180.2"	NA	NA	"Rhox5"	"chrX:37804841-37808876"	NA	NA
"ENSMUSG00000095597.1"	NA	NA	"Gm6472"	"chrX:152909503-152910155"	NA	NA
"ENSMUSG00000096255.1"	NA	NA	"Dynlt1b"	"chr17:6310546-6493180"	NA	NA
"ENSMUSG00000096278.1"	NA	NA	"Dcpp2"	"chr17:23880875-23900787"	NA	NA
"ENSMUSG00000096403.1"	NA	NA	"Gm9825"	"chr6:7981828-7983430"	NA	NA
"ENSMUSG00000096445.1"	NA	NA	"Dcpp1"	"chr17:23880875-23900787"	NA	NA
"ENSMUSG00000096780.1"	NA	NA	"Tmem181b-ps"	"chr17:6310546-6493180"	NA	NA
"ENSMUSG00000096887.1"	NA	NA	"Gm20594"	"chr6:79818030-79818364"	NA	NA
"Velocigene_LacZ"	NA	NA	"LacZ"	"velocigene_Zen_UB1_N3:0-3075"	NA	NA
